type,32p,64p,400p,10000p
q2,0.0000,0.0000,0.0000,3.4677
q3,2.1607,1.4553,0.4823,0.1923
q5,0.0000,0.0000,0.0000,0.0000
q7,0.0000,0.0000,0.0000,0.0000
q8,0.0000,0.0000,0.0000,0.0000
q10,5.9013,4.5453,2.0253,0.2723
q15,11.2647,11.1943,11.1603,11.1790
q17,0.0000,0.0000,0.0000,0.0000
q18,62.1143,57.6050,47.2720,6.5433
q19,0.0000,0.0000,0.0000,0.4623
q20,0.0000,0.0000,0.0000,9.4520
q21,0.0000,0.0000,0.0000,0.7780
