type,32p,64p,400p,10000p
q2,0.0000,0.0000,0.6922,0.7459
q3,0.9910,0.9933,0.9986,1.1395
q5,0.0000,0.0000,0.0000,1.0662
q7,0.0000,0.0000,0.0000,1.2606
q8,0.0000,0.0000,0.0000,0.4524
q10,0.9303,0.9320,0.9525,1.3404
q15,1.1495,1.1497,1.1706,1.4661
q17,3.4059,3.4070,3.4303,4.7829
q18,5.1341,5.1347,5.0358,5.0686
q19,0.1095,0.1100,0.0919,0.0984
q20,0.0000,0.0000,0.0000,3.2357
q21,0.0000,0.0000,0.0000,26.4682
