num,No-PS,PS,MV,PS-on-MV
1,4.9081,0.0581,0.0241,0.009
2,4.9095,0.058,0.0238,0.009
3,4.9222,0.0822,0.0242,0.009
4,4.924,0.3341,0.0281,0.013
5,4.9391,0.6233,0.0441,0.032
6,4.9674,1.2119,0.0638,0.0555
7,5.0004,2.3474,0.1031,0.101
