num,No-PS,PS,MV,PS-on-MV
1,44.107,0.054,1.986,0.032
2,44.173,0.064,1.998,0.042
3,44.173,0.235,2.241,0.267
4,46.277,1.918,3.097,1.634
5,49.828,8.774,7.043,5.647
6,54.069,16.864,15.217,11.035
7,63.896,34.2,24.61,21.523
