num,No-PS,PS,MV,PS-on-MV
1,27.648,0.051,1.095,0.015
2,27.625,0.056,1.102,0.021
3,27.786,0.153,1.141,0.12
4,28.215,1.086,1.583,0.803
5,30.279,5.203,3.605,2.906
6,32.572,10.612,8.234,5.426
7,37.495,21.309,12.534,10.458
