num,No-PS,PS,MV,PS-on-MV
1,7.236,0.074,0.073,0.013
2,7.210,0.074,0.072,0.013
3,7.204,0.103,0.076,0.017
4,7.254,0.417,0.314,0.060
5,7.439,0.952,0.267,0.251
6,7.622,1.834,0.564,0.478
7,8.027,3.576,0.927,0.904
