type,32p,64p,400p,10000p
q2,0.0018,0.0017,0.0017,0.0609
q3,0.0707,0.0586,0.0454,0.0399
q5,0.0000,0.0000,0.0000,0.0000
q7,0.0000,0.0000,0.0000,0.0000
q8,0.0000,0.0000,0.0000,0.0000
q10,0.0943,0.0459,0.0672,0.0477
q15,0.0453,0.0415,0.0371,0.0365
q17,0.0019,0.8124,0.9262,1.4092
q18,0.1286,0.0885,0.0304,0.0188
q19,0.0442,0.0591,0.0516,0.0558
q20,0.0000,0.0000,0.0000,0.0000
q21,0.0000,0.0000,0.0000,0.0000
