type,32p,64p,400p,10000p
q2,0.0019,0.0017,0.0017,0.1644
q3,0.8251,0.5942,0.4658,0.4420
q5,0.0000,0.0000,0.0000,0.0000
q7,0.0000,0.0000,0.0000,0.0000
q8,0.0000,0.0000,0.0000,0.0000
q10,1.2787,1.1736,0.6608,0.3078
q15,0.3203,0.2752,0.2289,0.2245
q17,0.0018,0.0018,0.0017,5.5228
q18,6.8637,7.3796,4.6122,0.1683
q19,0.0017,0.0018,0.0019,0.6541
q20,0.0000,0.0000,0.0000,0.0000
q21,0.0000,0.0000,0.0000,0.0000
