type,32p,64p,400p,4kp,10kp
q2,0.0842,0.0905,0.1097,0.1519,0.1734
q3,0.1731,0.1846,0.2219,0.2769,0.3181
q10,0.2202,0.2319,0.2675,0.3211,0.3563
q15,0.0555,0.0556,0.0567,0.0647,0.0793
q18,0.4863,0.5350,0.6827,0.8714,0.9708
q21,0.0000,0.0000,0.0000,0.0000,0.0000
