type,32p,64p,400p,10000p
q2,0.0359,0.0386,0.0559,0.0624
q3,0.0410,0.0372,0.0342,0.0341
q5,0.0019,0.0018,0.0018,0.8926
q7,0.0020,0.0018,0.0016,2.2679
q8,0.0000,0.0000,0.0000,0.0000
q10,0.0500,0.0453,0.0453,0.0480
q15,0.0337,0.0325,0.0300,0.0281
q17,0.0020,0.8397,0.9227,1.4039
q18,0.0466,0.0377,0.0318,0.0318
q19,0.0477,0.0611,0.0546,0.0590
q20,0.0019,0.0018,0.0018,0.1654
q21,0.0019,0.0018,0.0019,0.5041
