type,32p,64p,400p,10000p
q2,0.1447,0.1482,0.1527,0.1643
q3,0.2479,0.1959,0.1622,0.1553
q5,0.0020,0.0018,0.0017,0.0020
q7,0.0017,0.0018,0.0020,0.0018
q8,0.0019,0.0018,0.0019,0.0017
q10,0.3287,0.2403,0.1287,0.1099
q15,0.1041,0.0988,0.0826,0.0669
q17,0.0020,0.0019,0.0017,5.4113
q18,4.5162,4.3785,0.8513,0.1019
q19,0.0019,0.0019,0.0019,0.6593
q20,0.0020,0.0020,0.0020,2.4583
q21,0.0019,0.0019,0.0020,0.7044
