type,32p,64p,400p,10000p
q2,0.0000,0.0000,0.1053,0.5224
q3,0.3560,0.2724,0.0655,0.0485
q5,0.0000,0.0000,0.0000,0.6474
q7,0.0000,0.0000,0.0000,0.6014
q8,0.0000,0.0000,0.0000,0.2880
q10,0.5884,0.4743,0.3069,0.0543
q15,1.1547,1.1561,1.1470,1.1295
q17,3.3645,5.3445,4.4892,0.7429
q18,3.7162,3.5938,0.8160,35.5195
q19,0.1110,0.0800,0.0679,0.0615
q20,0.0000,0.0000,0.0000,0.8188
q21,0.0000,0.0000,0.0000,0.6224
