type,32p,64p,400p,10000p
q2,0.0000,0.0000,0.0000,12.3300
q3,6.8493,6.8050,6.8497,7.8450
q5,0.0000,0.0000,0.0000,0.0000
q7,0.0000,0.0000,0.0000,0.0000
q8,0.0000,0.0000,0.0000,0.0000
q10,7.3310,7.3463,7.5247,10.6553
q15,9.5430,9.5473,9.7380,12.0277
q17,0.0000,0.0000,0.0000,0.0000
q18,38.2670,38.1240,38.9773,39.5647
q19,0.0000,0.0000,0.0000,0.6403
q20,0.0000,0.0000,0.0000,3.2517
q21,0.0000,0.0000,0.0000,25.6227
