query,NOR,PS32,PS64,PS400,PS4000,PS10000
q3,0.409,0.2548,0.2073,0.1694,0.1596,0.1596
q10,0.431,0.3147,0.2264,0.1293,0.1161,0.1121
q15,0.192,0.0919,0.0855,0.0761,0.0671,0.0671
q18,2,2,2,2,0.6426,0.4576
q21,3.75,3.75,3.75,3.75,1.142,1.142
