query,NOR,PS32,PS64,PS400,PS4000,PS10000
q2,0,0.451724138,0.560344828,0.89137931,1.618965517,1.989655172
q3,0,1.268676278,1.419397117,1.908256881,2.629095675,3.169069463
q10,0,3.11588785,3.334579439,4,5.001869159,5.659813084
q15,0,0.563380282,0.566197183,0.597183099,0.822535211,1.233802817
q18,0,1.523611832,1.776336274,2.542812662,3.522055008,4.037882719
