query,NOR,PS32,PS64,PS400,PS4000,PS10000
q3,0,1.762044271,2.076985677,2.627929688,3.43766276,4.000813802
q10,0,7.941798942,8.274376417,10.12811791,11.40362812,12.49962207
q15,0,2.239583333,2.260416667,2.223958333,2.364583333,2.557291667
q18,0,1.706651755,2.493873383,2.759846348,3.574783623,3.973013712
q21,0,2.468200383,2.553221639,2.643827624,3.193305271,4.68826929
