query,NOR,PS32,PS64,PS400,PS4000,PS10000,PS100000
q2,10.124,5.329,5.068,4.219,3.730,3.567,3.321
q3,6.351,2.161,1.455,0.482,0.202,0.192,0.185
q10,6.070,5.901,4.545,2.025,0.463,0.272,0.191
q18,36.4917,36.4917,36.4917,36.4917,7.559,6.5433,0
q19,0.5617,0.5617,0.5617,0.5617,0.478,0.4623,0.44385
q20,16.927,16.927,16.927,16.927,10.227,9.452,7.159
q21,20.496,20.496,20.496,20.496,1.1043,0.778,0
