query,NOR,PS32,PS64,PS400,PS4000,PS10000,PS100000
q2,0,0.154731331,0.154731331,0.17631371,0.276866851,0.372876333,5.587811142
q3,0,0.071434195,0.071434195,0.078472124,0.108670666,0.133720656,1.928534316
q10,0,0.207802692,0.21032341,0.239715307,0.288531558,0.371566964,6.537192942
q18,0,0.034043358,0.034043358,0.034043358,0.051348663,0.08421093,0
q19,0,0.014776571,0.014776571,0.014776571,0.014776571,0.139932348,0.394872708
q20,0,0.33100963,0.343533999,0.479293437,0.707449637,1.064630472,74.28608141
q21,0,0.25270472,0.25270472,0.330428225,0.386541338,0.501231067,0
