query,NOR,PS32,PS64,PS400,PS4000,PS10000,PS100000
Q2,0.5294,0.5294,0.5294,0.1044,0.069,0.06775,0.06675
Q3,0.9378,0.2277,0.098,0.0567,0.0153,0.0148,0.01387
Q10,0.8036,0.514,0.411,0.114,0.08425,0.0512,0.02725
Q15,0.7394,0.7296,0.715,0.0659,0.01437,0.013,0.013
Q18,4.6889,1.1612,0.7799,0.32787,0.02625,0.0191,0.0156
Q19,0.1064,0.1074,0.0579,0.0451,0.0448,0.0376,0.036
