num,No-PS,PS,MV
1,110.6,166.807602,114.14
2,220.35,168.457602,114.26
3,331.09,170.107602,114.38
4,440.89,171.767602,114.5
5,551.9,173.417602,114.62
6,663.02,175.057602,114.74
7,773.59,176.717602,114.86
8,883.54,178.367602,114.98
9,994.02,180.017602,115.1
10,1104.02,181.657602,115.22
11,1216.33,349.194886,230.6
12,1328.05,350.934886,230.72
13,1439.74,352.684886,230.83
14,1551.41,354.444886,230.94
15,1662.84,356.204886,231.05
16,1775.18,357.964886,231.16
17,1887.22,359.724886,231.27
18,1999.04,361.484886,231.38
19,2111.27,363.224886,231.49
20,2223.14,364.974886,231.6
21,2332.84,530.820717,344.82
22,2443.24,532.300717,344.93
23,2553.74,533.790717,345.04
24,2663.72,535.270717,345.15
25,2772.98,536.760717,345.26
26,2882.78,538.250717,345.37
27,2992.75,539.740717,345.48
28,3102.86,708.277545,345.59
29,3212.82,709.757545,345.7
30,3323.29,711.247545,345.81
31,3430.68,870.479545,457.77
32,3538.16,871.669545,457.87
33,3645.17,872.869545,457.97
34,3752.15,874.079545,458.08
35,3859.55,875.279545,458.19
36,3966.46,876.459545,458.3
37,4073.04,877.649545,458.41
38,4181.19,878.839545,458.51
39,4288.25,880.029545,458.61
40,4394.53,881.229545,458.72
41,4507.66,1053.82438,573.48
42,4619.22,1054.60438,573.6
43,4731.36,1055.38438,573.72
44,4842.97,1056.16438,573.84
45,4954.73,1056.94438,573.96
46,5066.97,1057.72438,574.08
47,5179.86,1058.50438,574.2
48,5291.8,1059.27438,574.32
49,5403.58,1060.05438,574.44
50,5515.47,1060.82438,574.56
51,5625.0,1062.03438,688.86
52,5735.32,1063.24438,688.97
53,5844.82,1064.46438,689.08
54,5954.47,1065.69438,689.19
55,6063.98,1066.91438,689.3
56,6173.62,1068.13438,689.41
57,6283.19,1069.35438,689.52
58,6392.73,1070.57438,689.63
59,6502.5,1071.79438,689.74
60,6612.46,1073.01438,689.85
61,6721.76,1237.945123,802.97
62,6830.32,1239.175123,803.08
63,6938.57,1240.395123,803.19
64,7046.64,1241.625123,803.3
65,7155.34,1407.754675,803.41
66,7264.43,1408.974675,803.52
67,7373.56,1410.744675,803.63
68,7483.05,1411.974675,803.74
69,7592.1,1413.194675,803.85
70,7700.69,1414.424675,803.96
71,7810.96,1581.866269,918.04
72,7921.43,1583.616269,918.15
73,8031.92,1585.356269,918.26
74,8142.28,1587.106269,918.37
75,8252.77,1588.846269,918.48
76,8363.19,1590.586269,918.59
77,8472.6,1592.336269,918.7
78,8582.74,1594.096269,918.81
79,8692.87,1595.846269,918.92
80,8803.14,1597.596269,919.03
81,8915.37,1768.33677,1034.54
82,9027.65,1942.467336,1034.66
83,9139.44,1942.947336,1034.78
84,9251.44,1943.437336,1034.9
85,9363.26,2116.962742,1035.02
86,9474.66,2118.642742,1035.15
87,9586.47,2120.322742,1035.28
88,9698.52,2122.012742,1035.4
89,9810.7,2123.692742,1035.53
90,9922.44,2124.172742,1035.65
91,10030.9,2125.662742,1149.4
92,10139.88,2127.142742,1149.51
93,10248.41,2128.612742,1149.62
94,10357.47,2130.082742,1149.73
95,10465.86,2131.562742,1149.84
96,10574.6,2133.042742,1149.95
97,10683.37,2134.522742,1150.06
98,10792.33,2136.252742,1150.17
99,10901.63,2137.722742,1150.28
100,11011.02,2139.452742,1150.39
101,11122.57,2140.212742,1265.26
102,11233.75,2140.972742,1265.39
103,11345.95,2141.732742,1265.5
104,11457.57,2142.482742,1265.62
105,11568.74,2143.232742,1265.73
106,11680.52,2143.982742,1265.85
107,11791.97,2144.742742,1265.97
108,11903.46,2145.502742,1266.09
109,12015.21,2146.262742,1266.21
110,12126.95,2147.022742,1266.33
111,12235.24,2148.222742,1377.35
112,12343.26,2149.412742,1377.46
113,12451.61,2150.602742,1377.57
114,12559.24,2151.782742,1377.68
115,12667.07,2152.972742,1377.78
116,12774.88,2154.172742,1377.89
117,12882.82,2155.372742,1378.0
118,12990.61,2156.572742,1378.11
119,13098.32,2157.762742,1378.22
120,13205.17,2158.952742,1378.32
121,13316.58,2160.582742,1493.98
122,13428.34,2162.222742,1494.1
123,13540.33,2163.862742,1494.22
124,13651.65,2165.502742,1494.34
125,13762.86,2167.142742,1494.46
126,13874.44,2168.782742,1494.58
127,13986.08,2170.422742,1494.7
128,14097.99,2172.072742,1494.82
129,14211.33,2173.702742,1494.94
130,14323.06,2175.352742,1495.06
131,14434.55,2176.112742,1611.38
132,14545.86,2176.882742,1611.5
133,14657.5,2177.642742,1611.62
134,14768.23,2178.412742,1611.74
135,14879.87,2179.172742,1611.86
136,14991.74,2179.932742,1611.98
137,15104.12,2180.682742,1612.1
138,15216.57,2181.442742,1612.22
139,15327.97,2182.202742,1612.34
140,15440.69,2182.962742,1612.46
141,15551.96,2351.679323,1728.09
142,15663.34,2522.5881,1728.21
143,15775.21,2524.2681,1728.33
144,15886.41,2525.9481,1728.45
145,15998.46,2527.6281,1728.57
146,16110.35,2529.2981,1728.7
147,16221.81,2530.9681,1728.83
148,16333.05,2532.6381,1728.96
149,16445.78,2534.3081,1729.08
150,16557.56,2534.7881,1729.2
151,16669.16,2535.5581,1844.51
152,16780.7,2536.3181,1844.63
153,16893.39,2537.0881,1844.75
154,17004.8,2537.8481,1844.87
155,17116.66,2538.6181,1844.98
156,17228.2,2539.3781,1845.1
157,17340.44,2540.1481,1845.22
158,17451.02,2540.9081,1845.34
159,17563.48,2541.6781,1845.46
160,17675.08,2542.4381,1845.58
161,17786.63,2543.1981,1959.86
162,17896.95,2543.9681,1959.98
163,18006.86,2544.7381,1960.1
164,18118.2,2545.5081,1960.22
165,18228.86,2546.2781,1960.34
166,18340.26,2547.0481,1960.46
167,18451.36,2547.8081,1960.57
168,18562.15,2548.5781,1960.69
169,18673.51,2549.3381,1960.81
170,18784.71,2550.1081,1960.93
171,18892.53,2551.8281,2071.87
172,19000.19,2553.0181,2071.99
173,19107.64,2554.2281,2072.11
174,19215.19,2555.4281,2072.23
175,19322.92,2556.6381,2072.35
176,19430.39,2557.8381,2072.47
177,19537.89,2559.5681,2072.59
178,19645.62,2560.7781,2072.71
179,19753.44,2561.9881,2072.83
180,19863.55,2563.7181,2072.95
181,19973.55,2564.4781,2185.39
182,20083.52,2565.2481,2185.52
183,20193.51,2565.9981,2185.65
184,20303.76,2566.7481,2185.78
185,20413.95,2567.5081,2185.91
186,20524.77,2568.2681,2186.04
187,20634.98,2569.0281,2186.17
188,20745.49,2569.7881,2186.3
189,20856.31,2570.5381,2186.44
190,20967.14,2571.2981,2186.57
191,21080.69,2573.0081,2304.74
192,21194.5,2574.7081,2304.88
193,21308.59,2576.4181,2305.02
194,21422.45,2578.1281,2305.16
195,21536.29,2578.6081,2305.3
196,21650.16,2580.3081,2305.44
197,21763.71,2580.7881,2305.58
198,21877.52,2581.2681,2305.72
199,21991.69,2582.9581,2305.86
200,22105.36,2584.6481,2306.0
