num,No-PS,PS,MV
181,20029.44,3725.870572,5286.29
182,20139.34,3727.530572,5286.4
183,20249.41,3729.190572,5286.51
184,20359.4,3730.500572,5286.62
185,20469.1,3732.400572,5400.99
186,20578.3,3733.350572,5401.1
187,20687.73,3735.270572,5401.21
188,20797.28,3736.230572,5401.32
189,20909.3,3737.870572,5515.26
190,21022.01,3739.520572,5515.37
191,21131.84,3740.820572,5515.49
192,21241.61,3742.450572,5515.61
193,21352.34,3909.700798,5630.58
194,21463.43,3911.620798,5630.7
195,21574.47,3913.540798,5630.82
196,21686.15,3915.450798,5630.94
197,21797.94,3916.780798,5746.23
198,21909.76,3918.090798,5746.35
199,22021.73,3919.750798,5746.47
200,22133.36,3921.060798,5746.59
