num,No-PS,PS,MV
161,17819.01,3180.563352,9294.24
162,17932.21,3182.253352,9294.36
163,18041.27,3183.213352,9406.43
164,18149.97,3184.163352,9406.55
165,18261.12,3185.483352,9521.92
166,18372.03,3186.793352,9522.03
167,18481.11,3187.733352,9634.63
168,18589.67,3188.673352,9634.74
169,18638.54,3366.090925,9754.02
170,18687.54,3366.750925,9754.15
171,18798.52,3368.070925,9869.31
172,18908.75,3369.370925,9869.42
173,19018.97,3370.670925,9983.4
174,19129.21,3371.980925,9983.51
175,19242.58,3373.350925,10100.78
176,19356.26,3374.710925,10100.9
177,19469.18,3376.030925,10218.3
178,19582.51,3377.340925,10218.42
179,19694.12,3378.640925,10334.21
180,19806.46,3379.970925,10334.33
181,19917.72,3381.280925,10448.5
182,20028.12,3382.610925,10448.61
183,20138.24,3383.910925,10562.74
184,20248.22,3385.200925,10562.85
185,20357.38,3386.160925,10676.46
186,20467.06,3387.120925,10676.57
187,20577.22,3388.430925,10790.53
188,20688.25,3389.730925,10790.65
189,20800.32,3391.410925,10907.09
190,20911.29,3393.070925,10907.21
191,21020.05,3394.040925,11019.24
192,21128.95,3395.000925,11019.35
193,21238.99,3395.960925,11132.74
194,21348.56,3396.910925,11132.85
195,21459.17,3398.590925,11247.25
196,21569.26,3400.260925,11247.36
197,21680.78,3401.570925,11362.4
198,21793.05,3402.870925,11362.51
199,21905.09,3404.170925,11478.28
200,22017.06,3405.470925,11478.4
