num,No-PS,PS,MV
1,110.3,164.089247,116.43
2,220.72,165.279247,116.55
3,333.82,334.01014,233.34
4,445.94,335.35014,233.46
5,556.06,336.65014,348.12
6,666.32,337.95014,348.24
7,776.87,339.14014,462.83
8,887.28,340.33014,462.95
9,998.54,341.63014,575.75
10,1108.89,342.94014,575.86
11,1218.85,344.16014,689.62
12,1328.66,345.38014,689.73
13,1439.1,346.61014,803.97
14,1549.97,347.85014,804.09
15,1662.73,516.366637,919.49
16,1774.02,517.696637,919.61
17,1884.92,518.916637,1034.36
18,1995.79,520.126637,1034.48
19,2109.14,692.373012,1153.67
20,2223.11,693.023012,1153.8
21,2332.19,855.081628,1266.66
22,2440.85,856.091628,1266.77
23,2552.26,1022.974304,1382.33
24,2663.38,1024.624304,1382.44
25,2774.07,1025.914304,1498.1
26,2885.06,1027.204304,1498.22
27,2993.84,1028.404304,1610.35
28,3102.89,1029.604304,1610.46
29,3211.39,1190.95462,1723.03
30,3319.72,1191.87462,1723.15
31,3430.43,1356.915277,1837.42
32,3541.57,1358.115277,1837.53
33,3651.69,1521.814657,1951.69
34,3761.74,1523.204657,1951.8
35,3870.47,1524.394657,2064.22
36,3979.58,1525.594657,2064.33
37,4090.02,1527.244657,2177.13
38,4201.22,1528.904657,2177.25
39,4310.72,1530.194657,2291.09
40,4420.84,1531.474657,2291.2
41,4529.91,1532.664657,2404.9
42,4638.85,1533.844657,2405.02
43,4748.04,1535.134657,2518.11
44,4857.71,1536.434657,2518.23
45,4965.39,1537.604657,2627.88
46,5073.73,1538.784657,2627.99
47,5183.48,1701.483475,2741.0
48,5292.94,1702.663475,2741.11
49,5407.33,1704.023475,2859.58
50,5521.66,1705.373475,2859.7
51,5633.06,1707.033475,2974.86
52,5744.38,1708.693475,2974.98
53,5854.24,1870.603704,3089.36
54,5963.68,1871.833704,3089.47
55,6074.23,1873.123704,3202.96
56,6184.7,1874.403704,3203.08
57,6297.14,1875.613704,3320.35
58,6409.84,1876.823704,3320.48
59,6520.82,1878.043704,3435.07
60,6631.63,1879.253704,3435.19
61,6743.54,1880.483704,3551.9
62,6856.42,1881.703704,3552.02
63,6966.47,1883.013704,3666.24
64,7077.03,1884.303704,3666.36
65,7186.76,1885.333704,3780.2
66,7296.57,1886.353704,3780.31
67,7404.88,1887.553704,3892.37
68,7513.23,1888.743704,3892.48
69,7623.6,1889.743704,4006.81
70,7734.04,1890.743704,4006.92
71,7846.56,1892.083704,4123.49
72,7959.38,1893.423704,4123.6
73,8070.33,2057.913756,4238.12
74,8180.97,2059.113756,4238.23
75,8293.13,2227.022405,4355.01
76,8405.7,2228.732405,4355.12
77,8516.22,2230.422405,4469.28
78,8627.18,2232.102405,4469.4
79,8738.43,2233.302405,4583.83
80,8848.7,2234.502405,4583.94
81,8956.28,2235.722405,4695.41
82,9064.12,2236.942405,4695.52
83,9173.89,2238.242405,4808.25
84,9283.75,2239.532405,4808.36
85,9397.32,2240.852405,4925.97
86,9510.95,2242.202405,4926.09
87,9618.2,2243.372405,5036.05
88,9725.67,2244.552405,5036.16
89,9835.73,2245.552405,5150.56
90,9946.42,2246.552405,5150.67
91,10057.61,2247.882405,5265.54
92,10168.86,2249.202405,5265.66
93,10279.77,2415.99077,5381.55
94,10390.91,2417.31077,5381.67
95,10500.61,2418.32077,5495.37
96,10611.09,2419.33077,5495.48
97,10724.72,2592.521715,5613.32
98,10839.0,2594.201715,5613.44
99,10950.73,2595.811715,5729.46
100,11061.5,2597.421715,5729.73
101,11170.22,2598.711715,5842.82
102,11279.63,2599.991715,5842.93
103,11390.35,2601.621715,5956.12
104,11500.91,2603.251715,5956.24
105,11611.77,2604.451715,6071.22
106,11722.92,2605.651715,6071.33
107,11834.65,2606.981715,6187.15
108,11946.1,2608.301715,6187.26
109,12058.25,2609.921715,6303.79
110,12170.1,2611.551715,6303.91
111,12280.64,2613.201715,6418.78
112,12392.05,2614.871715,6418.9
113,12501.0,2616.081715,6532.19
114,12609.94,2617.291715,6532.3
115,12721.79,2785.888904,6648.87
116,12833.62,2787.178904,6648.99
117,12943.58,2788.358904,6763.42
118,13053.5,2789.518904,6763.53
119,13163.3,2790.538904,6877.23
120,13272.8,2791.568904,6877.34
121,13383.6,2792.888904,6992.41
122,13494.2,2794.198904,6992.53
123,13606.68,2795.498904,7108.2
124,13718.48,2796.788904,7108.32
125,13831.44,2798.118904,7225.68
126,13944.16,2799.438904,7225.8
127,14051.25,2800.628904,7336.98
128,14158.42,2801.818904,7337.09
129,14269.74,2803.128904,7452.94
130,14381.83,2804.448904,7453.06
131,14491.82,2805.648904,7566.61
132,14601.96,2806.828904,7566.73
133,14715.58,2808.128904,7684.31
134,14828.16,2809.418904,7684.43
135,14940.15,2810.728904,7800.43
136,15052.43,2812.048904,7800.55
137,15164.12,2813.368904,7916.59
138,15275.66,2814.698904,7916.7
139,15384.02,2815.978904,8028.96
140,15492.87,2817.258904,8029.07
141,15603.2,2818.568904,8143.09
142,15714.45,2819.898904,8143.21
143,15824.14,2821.188904,8256.72
144,15934.48,2822.488904,8256.84
145,16047.38,2824.148904,8373.72
146,16160.0,2825.798904,8373.84
147,16271.21,2827.098904,8490.02
148,16382.34,2828.408904,8490.14
149,16492.93,2993.287594,8605.05
150,16603.37,2994.237594,8605.16
151,16713.58,2995.537594,8718.78
152,16823.61,2996.867594,8718.89
153,16932.98,2998.177594,8832.58
154,17042.51,2999.487594,8832.7
155,17151.77,3000.437594,8945.11
156,17261.29,3001.387594,8945.22
157,17374.12,3002.687594,9062.41
158,17486.58,3003.987594,9062.53
159,17595.94,3005.307594,9176.57
160,17705.84,3006.607594,9176.68
