type,32p,64p,400p,10000p
q2o,0.1181,0.1170,0.1381,0.1440
q3,0.2548,0.2073,0.1694,0.1596
q5,0.0018,0.0015,0.0019,0.0017
q7,0.0018,0.0017,0.0019,0.0018
q8,0.0019,0.0019,0.0018,0.0018
q10,0.3147,0.2264,0.1293,0.1121
q15,0.0919,0.0855,0.0761,0.0671
q17,0.0017,0.0019,0.0017,0.0000
q18,4.4664,4.2214,0.8576,0.0996
q19,0.0020,0.0016,0.0016,0.7002
q20,0.0018,0.0018,0.0020,2.5072
q21,0.0012,0.0020,0.0016,0.7374
