type,nor1,nor10
q2,0.5294,10.1240
q3,0.9378,6.3513
q5,1.0554,9.9243
q7,1.2470,26.0727
q8,0.4416,3.4400
q10,0.8036,6.0697
q15,0.7394,6.4020
q17,3.3361,36.1227
q18,4.6889,36.4917
q19,0.1064,0.5617
q20,2.1664,16.9270
q21,2.7190,20.4960
q21u,14.4759,73.0667
