type,32p,64p,400p,4kp,10kp
q3,0.0140,0.0147,0.0170,0.0000,0.0000
q10,0.0143,0.0147,0.0173,0.0000,0.0000
q15,0.0143,0.0143,0.0170,0.0000,0.0000
q18,0.0143,0.0147,0.0173,0.0000,0.0000
q21,0.0140,0.0143,0.0160,0.0000,0.0000
