type,32p,64p,400p,4kp,10kp
q2o,0.0594,0.0599,0.1155,0.0017,0.1535
q3,0.0761,0.0648,0.0521,0.0492,0.0490
q10,0.0628,0.0640,0.0882,0.1027,0.1050
q15,0.0400,0.0382,0.0386,0.0507,0.0384
q18,0.0700,0.0523,0.0358,0.0138,0.0340
