type,32p,64p,400p,4kp,10kp
q3,0.5820,0.4184,0.2922,0.2902,0.2962
q10,0.3892,0.4048,0.3242,0.2508,0.2446
q15,0.1292,0.1126,0.1124,0.1066,0.1068
q18,2.3172,2.3566,2.8174,0.6396,0.4602
q21,0.0018,0.0016,0.0020,1.1528,1.1426
