type,32p,64p,400p,4kp,10kp
q2,2.0412,3.0175,26.0794,0.0000,0.0000
q3,1.9247,3.8978,35.2156,0.0000,0.0000
q10,2.0449,4.2587,35.8842,0.0000,0.0000
q15,0.0631,0.0661,0.1295,0.0000,0.0000
q18,12.3972,22.1097,0.0000,0.0000,0.0000
q21,0.0000,0.0000,0.0000,0.0000,0.0000
