type,nor1,nor10
q2,0.0000,161.5565
q3,0.0000,1.3460
q5,0.0000,535.1490
q7,0.0000,4.2355
q8,0.0000,1.3900
q10,0.0000,1.2085
q15,0.0000,0.9430
q17,0.0000,13.8655
q18,0.0000,5.2220
q19,0.0000,0.3045
q20,0.0000,6.0725
q21,0.0000,0.7600
q21u,0.0000,0.0125
type,nor1,nor10
q2,161.5565
q3,1.3460
q5,535.1490
q7,4.2355
q8,1.3900
q10,1.2085
q15,0.9430
q17,13.8655
q18,5.2220
q19,0.3045
q20,6.0725
q21,0.7600
q21u,0.0125
