type,32p,64p,400p,4kp,10kp
q2,0.0000,0.0000,0.0000,0.0000,0.0000
q3,1.6970,1.8905,2.2290,2.7265,3.0725
q10,2.3660,2.4540,2.9445,3.2820,3.5720
q15,0.3110,0.3130,0.3095,0.3230,0.3415
q18,5.5665,7.1855,7.7325,9.4085,10.2275
q21,249.6480,255.7680,262.2900,301.8425,409.4530
