type,32p,64p,400p,4kp,10kp
q3,0.5888,0.4252,0.2870,0.2794,0.2922
q10,0.3726,0.3944,0.3242,0.2420,0.2428
q15,0.1188,0.1080,0.1014,0.1110,0.0996
q18,2.2048,2.4250,2.8816,0.6426,0.4576
q21,0.0020,0.0016,0.0020,1.1420,1.1602
