num,No-PS,eager
270,1354.1875,1065.034734
271,1359.7965,1066.677234
272,1364.007,1068.349734
273,1368.497,1070.072734
274,1374.102,1071.870234
275,1379.8305,1073.487734
276,1384.814,1075.163234
277,1390.4315,1076.825734
278,1394.952,1078.357734
279,1400.124,1080.036234
280,1404.686,1081.692234
281,1409.289,1090.51401
282,1413.7995,1092.14251
283,1419.643,1094.03901
284,1423.841,1095.71051
285,1428.5825,1097.34701
286,1433.147,1098.82051
287,1438.337,1100.36101
288,1442.914,1109.493537
289,1447.7395,1111.264037
290,1453.5715,1123.025026
291,1457.784,1124.702026
292,1462.9445,1126.425526
293,1467.1035,1127.977526
294,1472.454,1129.520026
295,1478.2125,1131.162526
296,1483.547,1132.920526
297,1488.3785,1134.361526
298,1493.6215,1136.027026
299,1498.2,1137.581526
300,1502.7865,1139.143026
301,1508.3085,1140.796026
302,1513.6125,1142.544526
303,1518.4165,1144.074026
304,1523.323,1145.745526
305,1528.629,1147.266026
306,1532.632,1148.883026
307,1537.1255,1150.524526
308,1541.27,1152.068526
309,1546.3475,1153.706526
310,1551.654,1155.250026
311,1557.2395,1157.017526
312,1561.8475,1158.561526
313,1566.4115,1160.103026
314,1571.1295,1161.733526
315,1576.4305,1163.262026
316,1581.4675,1165.028026
317,1586.719,1175.951354
318,1592.2455,1187.336262
319,1597.6195,1188.863262
320,1603.235,1190.636762
321,1608.478,1192.318262
322,1613.78,1194.070762
323,1619.0135,1195.784762
324,1623.7905,1197.315762
325,1627.8215,1198.927762
326,1631.981,1200.479262
327,1636.8215,1202.011262
328,1642.653,1203.899262
329,1647.755,1205.531262
330,1652.2035,1207.240762
331,1658.029,1208.956262
332,1663.3425,1210.491762
333,1668.0775,1211.945262
334,1672.636,1213.504762
335,1677.6985,1215.238762
336,1683.2635,1216.998762
337,1688.8705,1218.668762
338,1694.4765,1220.434762
339,1698.8235,1222.007262
340,1702.8135,1223.618762
341,1706.766,1225.265262
342,1712.1275,1235.93643
343,1716.635,1237.57993
344,1722.464,1239.26193
345,1727.7755,1240.91143
346,1732.337,1242.46993
347,1737.9365,1244.23093
348,1742.779,1245.97643
349,1746.797,1247.69343
350,1750.958,1249.25143
351,1756.1805,1250.91543
352,1760.823,1252.65293
353,1764.8125,1254.45293
354,1770.14,1255.98093
355,1775.7625,1257.78693
356,1781.1555,1268.490252
357,1786.5015,1270.024252
358,1791.033,1271.662252
359,1795.681,1273.233252
360,1800.7065,1274.897752
361,1805.77,1276.414752
362,1811.538,1278.115752
363,1816.965,1279.982752
364,1821.5865,1281.549252
365,1826.673,1283.193252
366,1831.738,1284.920252
367,1836.2545,1286.516752
368,1840.891,1288.063252
369,1846.3055,1289.584252
370,1851.386,1291.117752
371,1855.917,1292.777752
372,1860.253,1294.413252
373,1865.6315,1295.982752
374,1870.1655,1297.712752
375,1875.7605,1299.373252
376,1881.2,1301.100252
377,1887.0715,1302.987252
378,1892.3575,1304.658252
379,1897.208,1306.250752
380,1901.402,1307.811752
381,1905.988,1309.368252
382,1911.806,1311.038252
383,1917.1555,1312.582752
384,1922.1825,1314.099252
385,1926.747,1315.614752
386,1931.335,1317.172752
387,1936.2975,1318.945752
388,1940.9035,1320.502252
389,1945.1135,1322.153752
390,1950.17,1323.837252
391,1955.485,1325.361752
392,1961.1705,1327.027752
393,1965.754,1335.966024
394,1969.7535,1337.606024
395,1974.401,1339.132524
396,1979.651,1340.801024
397,1985.051,1342.430524
398,1990.336,1344.096024
399,1995.152,1345.698524
400,2000.4965,1347.227524
401,2006.3805,1359.098183
402,2011.577,1360.760183
403,2016.648,1362.502183
404,2021.737,1364.242683
405,2025.9545,1372.695089
406,2031.0205,1374.208089
407,2035.2855,1375.827089
408,2039.805,1377.467589
409,2044.537,1378.991589
410,2049.542,1380.664089
411,2054.1045,1382.291589
412,2059.1825,1384.027589
413,2064.1885,1385.681089
414,2069.241,1387.421589
415,2074.8665,1389.313089
416,2079.551,1390.890089
417,2084.0725,1392.527589
418,2089.4125,1394.267089
419,2094.4115,1395.910589
420,2099.478,1397.568589
421,2103.9325,1399.154589
422,2108.97,1400.909589
423,2114.5445,1402.577589
424,2118.7925,1404.146089
425,2123.166,1405.702089
426,2128.3905,1407.255589
427,2133.7815,1409.031089
428,2138.621,1410.556589
429,2143.3545,1412.316089
430,2148.2055,1413.946089
431,2153.4995,1415.594089
432,2157.8705,1417.144589
433,2163.6975,1418.826589
434,2168.016,1420.368089
435,2173.378,1431.225159
436,2177.621,1432.776659
437,2182.2165,1434.349159
438,2187.9675,1435.965159
439,2192.4775,1437.675159
440,2197.0705,1439.234159
441,2202.9005,1441.136159
442,2208.088,1443.048659
443,2213.923,1444.932159
444,2219.724,1446.604159
445,2225.577,1448.292659
446,2230.0875,1449.990159
447,2234.7695,1451.661659
448,2240.6205,1453.332159
449,2246.483,1455.219659
450,2251.091,1456.790159
451,2256.0115,1458.329159
452,2260.6245,1459.868159
453,2264.837,1461.548159
454,2270.7005,1463.210159
455,2275.607,1464.739659
456,2281.2045,1466.527159
457,2285.793,1468.163159
458,2290.4005,1469.710159
459,2295.7425,1471.439159
460,2301.1535,1473.115659
461,2305.915,1474.772659
462,2311.24,1476.528159
463,2316.6105,1478.178159
464,2321.9055,1488.993163
465,2327.499,1490.758663
466,2332.3925,1492.287663
467,2338.168,1493.908163
468,2343.5805,1495.553163
469,2348.9165,1497.309663
470,2353.855,1498.837663
471,2359.4895,1500.689163
472,2365.043,1502.347163
473,2370.442,1504.106663
474,2376.3055,1505.781163
475,2381.4075,1507.507163
476,2387.25,1509.181163
477,2392.051,1510.723663
478,2397.914,1512.406663
479,2401.9035,1514.050663
480,2406.038,1515.611663
481,2411.4125,1517.255663
482,2416.74,1519.000163
483,2421.2165,1520.744663
484,2425.8025,1522.339663
485,2431.146,1523.770663
486,2436.1515,1525.439163
487,2441.3525,1527.119663
488,2447.226,1528.866163
489,2452.8365,1530.627163
490,2457.675,1532.271663
491,2462.999,1533.920663
492,2467.2265,1535.601163
493,2473.081,1537.263163
494,2478.4045,1548.111235
495,2483.738,1549.650735
496,2487.781,1551.357735
497,2493.103,1553.109735
498,2498.0255,1554.698735
499,2503.039,1556.371235
500,2508.3505,1558.026235
501,2513.4545,1559.682735
502,2518.335,1561.210235
503,2524.156,1562.882735
504,2528.6725,1564.701235
505,2534.3275,1566.363235
506,2539.6775,1580.081986
507,2545.0135,1581.939986
508,2549.9375,1583.455486
509,2555.3365,1585.028486
510,2560.663,1586.547486
511,2565.7345,1588.195486
512,2570.744,1589.871486
513,2574.7275,1591.530486
514,2579.3395,1593.083486
515,2584.898,1604.614287
516,2589.4705,1606.178787
517,2594.8275,1616.729088
518,2600.6685,1618.413588
519,2605.717,1620.241588
520,2610.2885,1621.858088
521,2615.406,1623.613088
522,2620.4155,1625.146088
523,2626.241,1626.925588
